x-axis,1,2,3
second,Volt,Volt,Volt
-3.880000E-06,+2.699899464380E+00,+2.769849237055E+00,+2.344221107196E+00
-3.875000E-06,+2.684824087657E+00,+2.483417079318E+00,+2.502512562787E+00
-3.870000E-06,+2.443618060090E+00,+2.443216074724E+00,+2.623115576571E+00
-3.865000E-06,+2.433567808941E+00,+2.370351753896E+00,+2.575376883615E+00
-3.860000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.419597990811E+00
-3.855000E-06,+2.694874338806E+00,+2.696984916227E+00,+2.379396986216E+00
-3.850000E-06,+2.619497455191E+00,+2.483417079318E+00,+2.500000000000E+00
-3.845000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.620603013784E+00
-3.840000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.610552762635E+00
-3.835000E-06,+2.458693436813E+00,+2.370351753896E+00,+2.419597990811E+00
-3.830000E-06,+2.694874338806E+00,+2.764824111480E+00,+2.379396986216E+00
-3.825000E-06,+2.614472329617E+00,+2.448241200298E+00,+2.469849246554E+00
-3.820000E-06,+2.378291427623E+00,+2.408040195704E+00,+2.623115576571E+00
-3.815000E-06,+2.373266302049E+00,+2.403015070129E+00,+2.575376883615E+00
-3.810000E-06,+2.468743687961E+00,+2.410552758491E+00,+2.452261307044E+00
-3.805000E-06,+2.765226096846E+00,+2.732160795247E+00,+2.379396986216E+00
-3.800000E-06,+2.614472329617E+00,+2.455778888660E+00,+2.469849246554E+00
-3.795000E-06,+2.373266302049E+00,+2.403015070129E+00,+2.660804018378E+00
-3.790000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.542713567382E+00
-3.785000E-06,+2.458693436813E+00,+2.443216074724E+00,+2.419597990811E+00
-3.780000E-06,+2.699899464380E+00,+2.732160795247E+00,+2.384422111791E+00
-3.775000E-06,+2.684824087657E+00,+2.450753763085E+00,+2.502512562787E+00
-3.770000E-06,+2.453668311238E+00,+2.403015070129E+00,+2.655778892804E+00
-3.765000E-06,+2.363216050901E+00,+2.370351753896E+00,+2.575376883615E+00
-3.760000E-06,+2.458693436813E+00,+2.408040195704E+00,+2.457286432618E+00
-3.755000E-06,+2.694874338806E+00,+2.764824111480E+00,+2.379396986216E+00
-3.750000E-06,+2.614472329617E+00,+2.488442204893E+00,+2.469849246554E+00
-3.745000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.623115576571E+00
-3.740000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.580402009189E+00
-3.735000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.457286432618E+00
-3.730000E-06,+2.619497455191E+00,+2.769849237055E+00,+2.379396986216E+00
-3.725000E-06,+2.694874338806E+00,+2.488442204893E+00,+2.502512562787E+00
-3.720000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.660804018378E+00
