x-axis,1,2,3
second,Volt,Volt,Volt
-4.545000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-4.540000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.535000E-06,+2.537562839687E+00,+2.628643185366E+00,+1.094302767888E+00
-4.530000E-06,+2.296356812119E+00,+2.553266301751E+00,+1.094302767888E+00
-4.525000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.520000E-06,+2.612939723302E+00,+2.553266301751E+00,+1.094302767888E+00
-4.515000E-06,+2.693341732491E+00,+2.548241176177E+00,+1.094302767888E+00
-4.510000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.505000E-06,+2.291331686545E+00,+2.472864292562E+00,+1.094302767888E+00
-4.500000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.495000E-06,+2.693341732491E+00,+2.633668310940E+00,+1.094302767888E+00
-4.490000E-06,+2.537562839687E+00,+2.633668310940E+00,+1.094302767888E+00
-4.485000E-06,+2.457160830498E+00,+2.628643185366E+00,+1.094302767888E+00
-4.480000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-4.475000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.470000E-06,+2.537562839687E+00,+2.709045194555E+00,+1.094302767888E+00
-4.465000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.460000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.455000E-06,+2.215954802930E+00,+2.472864292562E+00,+1.094302767888E+00
-4.450000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.445000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.440000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.435000E-06,+2.532537714113E+00,+2.553266301751E+00,+1.094302767888E+00
-4.430000E-06,+2.215954802930E+00,+2.472864292562E+00,+1.094302767888E+00
-4.425000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.420000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.415000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.410000E-06,+2.537562839687E+00,+2.633668310940E+00,+1.094302767888E+00
-4.405000E-06,+2.215954802930E+00,+2.472864292562E+00,+1.094302767888E+00
-4.400000E-06,+2.693341732491E+00,+2.472864292562E+00,+1.094302767888E+00
-4.395000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.390000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-4.385000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-4.380000E-06,+2.291331686545E+00,+2.472864292562E+00,+1.094302767888E+00
-4.375000E-06,+2.617964848876E+00,+2.392462283373E+00,+1.094302767888E+00
-4.370000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.365000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.360000E-06,+2.537562839687E+00,+2.628643185366E+00,+1.094302767888E+00
-4.355000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-4.350000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.345000E-06,+2.617964848876E+00,+2.709045194555E+00,+1.094302767888E+00
-4.340000E-06,+2.612939723302E+00,+2.553266301751E+00,+1.094302767888E+00
-4.335000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.330000E-06,+2.296356812119E+00,+2.553266301751E+00,+1.094302767888E+00
-4.325000E-06,+2.537562839687E+00,+2.392462283373E+00,+1.094302767888E+00
-4.320000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.315000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.310000E-06,+2.537562839687E+00,+2.548241176177E+00,+1.094302767888E+00
-4.305000E-06,+2.291331686545E+00,+2.472864292562E+00,+1.094302767888E+00
-4.300000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.295000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-4.290000E-06,+2.457160830498E+00,+2.553266301751E+00,+1.094302767888E+00
-4.285000E-06,+2.532537714113E+00,+2.553266301751E+00,+1.094302767888E+00
-4.280000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.275000E-06,+2.693341732491E+00,+2.467839166988E+00,+1.094302767888E+00
-4.270000E-06,+2.537562839687E+00,+2.709045194555E+00,+1.094302767888E+00
