0  0 0  0  
568  907.44  568  6.64  
569  1090.87  569  12.56  
570  815.8  570  20.03  
571  1234.18  571  -58.64  
572  1115.12  572  6.81  
573  827.87  573  0.96  
574  1229.88  574  23.99  
575  1251.45  575  8.69  
576  1163.17  576  13.13  
577  1113.01  577  3.89  
578  907.95  578  16.37  
579  930.06  579  6.74  
580  1057.78  580  20.79  
581  745.73  581  -57.34  
582  1092.3  582  -10.63  
583  1149.58  583  3.89  
584  940.57  584  10.04  
585  875.75  585  4.33  
586  1049.11  586  -14.38  
587  983.55  587  3.86  
588  969.04  588  -38.83  
589  1273.26  589  20.09  
590  1086.32  590  34.06  
591  1157.53  591  21.07  
592  872.3  592  12.16  
593  1025.03  593  28.56  
594  1031.26  594  6.5  
595  929.3  595  -32.96  
596  787.18  596  9.98  
597  1228.49  597  23.47  
598  746.13  598  12.17  
599  1139.96  599  11.06  
600  1031.33  600  34.89  
601  845.0  601  -3.46  
602  969.0  602  -38.63  
603  867.02  603  2.53  
604  973.01  604  -7.94  
605  856.2  605  -35.75  
606  1058.71  606  32.35  
607  884.95  607  1.53  
608  1113.73  608  -26.09  
609  826.11  609  -26.26  
610  1144.01  610  2.64  
611  836.1  611  19.08  
612  825.47  612  24.44  
613  1070.9  613  20.46  
614  1159.91  614  14.1  
615  916.55  615  6.43  
616  1191.33  616  9.63  
617  1046.11  617  11.7  
618  954.86  618  -29.98  
619  950.84  619  -0.93  
620  1110.37  620  7.61  
621  1248.33  621  -18.68  
622  943.1  622  38.38  
623  780.66  623  31.62  
624  1244.43  624  33.64  
625  1053.03  625  11.44  
626  833.56  626  5.56  
627  1078.62  627  -24.52  
628  784.94  628  12.24  
629  1169.61  629  -22.48  
630  954.1  630  34.79  
631  1043.7  631  7.0  
632  916.51  632  -37.04  
633  946.93  633  27.0  
634  1022.26  634  4.77  
635  745.66  635  -29.24  
636  817.55  636  39.52  
637  1166.32  637  -29.02  
638  902.15  638  -15.88  
639  1012.02  639  -32.27  
640  863.55  640  -26.97  
641  866.19  641  3.89  
642  1146.23  642  3.24  
643  827.95  643  7.72  
644  803.01  644  -14.68  
645  1324.66  645  9.94  
646  1137.35  646  -4.94  
647  911.89  647  -35.58  
648  979.91  648  -42.42  
649  1076.93  649  8.12  
650  880.26  650  3.22  
651  905.93  651  15.69  
652  836.34  652  -43.56  
653  1143.0  653  -41.74  
654  885.89  654  1.61  
655  899.03  655  15.73  
656  808.18  656  1.37  
657  1038.52  657  1.49  
658  749.41  658  25.73  
659  796.59  659  12.03  
660  1081.52  660  2.26  
661  902.12  661  16.75  
662  1046.46  662  3.58  
663  997.69  663  -6.82  
664  1001.43  664  2.54  
665  998.17  665  -32.91  
666  871.3  666  31.63  
667  928.11  667  0.05  
668  1034.73  668  5.96  
669  869.72  669  -9.06  
670  932.51  670  -4.27  
671  861.76  671  14.38  
672  905.69  672  -33.69  
673  789.96  673  2.7  
674  1030.54  674  31.19  
675  789.1  675  -4.48  
676  1081.91  676  22.69  
677  976.29  677  -9.05  
678  1033.3  678  1.99  
679  810.22  679  -9.24  
680  873.91  680  8.48  
681  774.85  681  -18.35  
682  837.56  682  -9.68  
683  1072.16  683  34.62  
684  1110.82  684  13.1  
685  994.99  685  7.57  
686  954.52  686  15.23  
687  1071.63  687  7.96  
688  843.36  688  25.19  
689  1032.03  689  12.24  
690  902.47  690  -7.91  
691  899.83  691  19.9  
692  894.54  692  -2.15  
693  962.53  693  -4.76  
694  873.02  694  11.23  
695  1289.54  695  28.41  
696  950.31  696  5.82  
697  1087.2  697  -24.04  
698  1050.78  698  15.41  
699  960.48  699  -24.46  
700  773.49  700  -35.01  
701  920.13  701  13.43  
702  919.89  702  -20.14  
703  1065.35  703  1.74  
704  1072.93  704  16.95  
705  1044.75  705  19.23  
706  1280.35  706  5.79  
707  1020.76  707  24.25  
708  1181.2  708  28.77  
709  1049.02  709  14.4  
710  1143.45  710  12.58  
711  1003.2  711  -6.67  
712  943.64  712  14.23  
713  1043.62  713  2.27  
714  728.26  714  -17.39  
715  932.85  715  -23.91  
716  1088.19  716  4.11  
717  962.23  717  17.13  
718  1213.17  718  -18.9  
719  935.43  719  28.78  
720  844.54  720  26.33  
721  749.83  721  21.12  
722  934.06  722  6.91  
723  1064.93  723  26.92  
724  792.52  724  7.63  
725  694.91  725  2.2  
726  886.63  726  -6.4  
727  867.5  727  20.16  
728  933.84  728  -30.41  
729  1157.99  729  2.91  
730  887.99  730  14.41  
731  980.67  731  4.66  
732  1179.62  732  2.28  
733  1114.35  733  22.34  
734  1541.26  734  1.77  
735  946.27  735  22.12  
736  1054.7  736  -27.15  
737  1012.68  737  0.78  
738  876.78  738  -24.82  
739  989.01  739  2.66  
740  796.02  740  21.16  
741  1093.76  741  -1.59  
742  953.55  742  -10.06  
743  1061.4  743  30.01  
744  1092.37  744  2.89  
745  1196.33  745  -19.6  
746  880.01  746  -5.33  
747  932.87  747  26.86  
748  1234.96  748  -10.43  
749  1024.38  749  2.56  
750  998.52  750  -19.59  
751  1022.25  751  25.75  
752  1120.49  752  5.26  
753  1215.32  753  25.39  
754  1087.7  754  -6.27  
755  957.17  755  -13.8  
756  958.01  756  -39.74  
757  950.38  757  9.07  
758  832.95  758  27.04  
759  797.14  759  -27.08  
760  1319.31  760  -12.38  
761  921.06  761  -5.39  
762  1177.12  762  31.7  
763  991.12  763  35.19  
764  1211.49  764  -35.0  
765  1051.83  765  -0.86  
766  1173.8  766  -36.44  
767  922.32  767  7.49  
768  1219.92  768  -8.33  
769  1183.75  769  -17.67  
770  1032.52  770  18.78  
771  840.03  771  -21.57  
772  862.57  772  -17.19  
773  1058.07  773  -34.71  
774  1317.23  774  26.34  
775  1125.84  775  -17.95  
776  1009.07  776  28.18  
777  1055.03  777  -4.43  
778  846.26  778  -7.45  
779  1413.9  779  7.52  
780  738.63  780  17.14  
781  909.48  781  -16.74  
782  1031.91  782  16.99  
783  978.97  783  12.68  
784  1016.46  784  -8.64  
785  988.61  785  17.52  
786  1085.71  786  23.46  
787  1042.6  787  17.36  
788  1030.07  788  -29.04  
789  840.98  789  7.59  
790  1028.3  790  20.32  
791  1073.39  791  22.52  
792  978.02  792  -12.6  
793  1069.08  793  14.25  
794  1021.78  794  13.25  
795  771.91  795  31.41  
796  1201.85  796  -11.65  
797  1107.78  797  -11.52  
798  1079.7  798  -38.16  
799  1065.46  799  -14.71  
800  1152.39  800  22.65  
801  931.54  801  22.45  
802  975.02  802  14.94  
803  964.5  803  11.87  
804  1126.72  804  26.28  
805  1016.59  805  6.69  
806  1065.98  806  31.19  
807  922.2  807  14.86  
808  973.69  808  3.59  
809  845.97  809  6.79  
810  963.49  810  25.61  
811  1048.12  811  27.68  
812  814.56  812  -44.08  
813  945.1  813  -12.28  
814  997.16  814  24.85  
815  1114.08  815  28.47  
816  1009.79  816  -2.12  
817  1173.64  817  30.17  
818  959.91  818  -3.67  
819  1032.66  819  41.03  
820  1076.15  820  9.73  
821  1187.27  821  -28.51  
822  921.85  822  -31.54  
823  1082.78  823  39.52  
824  970.77  824  -38.59  
825  798.83  825  -6.79  
826  849.44  826  12.33  
827  1257.13  827  4.63  
828  1156.61  828  -2.15  
829  938.66  829  3.64  
830  939.19  830  -1.64  
831  1006.32  831  -6.61  
832  1133.16  832  16.97  
833  824.82  833  -21.07  
834  1183.36  834  12.1  
835  972.85  835  40.89  
836  1115.07  836  -17.63  
837  1037.4  837  21.27  
838  839.52  838  18.61  
839  1150.2  839  -8.75  
840  740.77  840  -12.18  
841  967.06  841  7.73  
842  1059.32  842  10.79  
843  1166.0  843  30.45  
844  742.76  844  -7.43  
845  918.27  845  -32.56  
846  1084.62  846  5.34  
847  929.79  847  9.09  
848  860.61  848  -17.54  
849  946.69  849  27.15  
850  1313.61  850  -33.6  
851  1037.24  851  -37.07  
852  1252.01  852  8.77  
853  954.1  853  -5.26  
854  1232.06  854  -21.5  
855  1015.31  855  -25.25  
856  929.18  856  25.17  
857  891.52  857  23.14  
858  788.99  858  9.11  
859  978.32  859  -33.52  
860  863.78  860  16.38  
861  857.94  861  10.95  
862  1180.85  862  36.47  
863  968.55  863  29.23  
864  904.39  864  2.47  
865  1173.17  865  -10.75  
866  834.65  866  18.85  
867  945.43  867  6.44  
868  1033.82  868  -1.68  
869  888.5  869  -12.73  
870  1219.43  870  1.29  
871  920.79  871  -9.75  
872  995.63  872  12.06  
873  1074.68  873  -29.93  
874  1125.58  874  7.91  
875  801.18  875  2.03  
876  879.49  876  -1.83  
877  1168.78  877  -29.27  
878  955.45  878  -9.05  
879  1194.05  879  27.49  
880  930.36  880  11.56  
881  1079.81  881  -11.31  
882  890.26  882  23.32  
883  1071.43  883  -5.62  
884  1057.08  884  28.35  
885  1288.0  885  -20.27  
886  1271.59  886  11.51  
887  965.24  887  25.04  
888  979.57  888  17.0  
889  781.14  889  16.7  
890  1316.37  890  9.63  
891  874.1  891  -0.22  
892  1099.06  892  30.48  
893  1183.72  893  22.36  
894  956.71  894  -41.97  
895  893.26  895  11.42  
896  1142.35  896  1.28  
897  935.47  897  15.3  
898  1099.53  898  1.12  
899  1099.39  899  -2.6  
900  1090.51  900  3.31  
901  1133.87  901  -35.49  
902  1005.34  902  1.03  
903  858.86  903  -33.64  
904  756.66  904  -12.01  
905  985.95  905  9.39  
906  750.82  906  -21.44  
907  863.86  907  -34.89  
908  984.96  908  -0.67  
909  1198.28  909  8.58  
910  909.01  910  34.85  
911  1061.96  911  -8.02  
912  985.78  912  5.53  
913  909.65  913  2.93  
914  978.7  914  -32.41  
915  1005.98  915  4.78  
916  981.8  916  20.62  
917  1044.38  917  27.94  
918  902.49  918  3.53  
919  1046.2  919  34.56  
920  1316.61  920  15.72  
921  927.99  921  14.98  
922  1171.47  922  34.21  
923  934.94  923  -1.59  
924  938.58  924  7.35  
925  1325.8  925  2.65  
926  1008.54  926  -24.5  
927  939.29  927  -9.25  
928  1203.91  928  8.98  
929  1223.07  929  26.75  
930  1067.53  930  24.83  
931  926.61  931  31.5  
932  944.8  932  -21.47  
933  1146.39  933  7.83  
934  1087.96  934  2.49  
935  872.31  935  -10.8  
936  1072.41  936  -19.8  
937  886.67  937  30.57  
938  998.75  938  -22.81  
939  1089.61  939  -52.22  
940  927.13  940  13.41  
941  1006.88  941  -3.92  
942  864.17  942  -44.78  
943  1091.49  943  -17.24  
944  991.27  944  -1.53  
945  958.11  945  -31.46  
946  992.63  946  3.13  
947  840.92  947  22.03  
948  1302.42  948  30.47  
949  983.99  949  -10.13  
950  1161.59  950  -16.17  
951  1222.24  951  -25.36  
952  1219.94  952  -17.6  
953  954.5  953  36.95  
954  1044.25  954  26.65  
955  680.78  955  -15.44  
956  1134.61  956  16.41  
957  953.87  957  11.03  
958  1021.22  958  11.45  
959  789.43  959  -9.58  
960  857.26  960  -27.77  
961  940.58  961  -11.82  
962  1086.21  962  25.82  
963  1206.15  963  11.42  
964  883.27  964  -27.43  
965  813.43  965  -32.38  
966  1174.61  966  15.37  
